epoch,train_loss,valid_loss,dice_multi,time
0,0.4883882701396942,0.44976818561553955,0.20584659032654068,13:17
1,0.41163840889930725,0.40138572454452515,0.242934161622235,13:17
2,0.39584851264953613,0.3874858021736145,0.2915083372619101,13:18
3,0.3855898678302765,0.38209840655326843,0.30358779618340964,13:17
4,0.3705003261566162,0.37138915061950684,0.3434257299531016,13:18
5,0.3662452697753906,0.36617496609687805,0.39164620436000896,13:16
6,0.35912537574768066,0.36659079790115356,0.3774900512941781,13:16
7,0.3681555986404419,0.36407023668289185,0.41683938216922856,13:16
8,0.359794944524765,0.36376455426216125,0.4223232814833751,13:16
9,0.3609588146209717,0.36343106627464294,0.42346343681224796,13:16
