epoch,train_loss,valid_loss,dice_multi,time
0,0.05809753015637398,0.06612035632133484,0.456582072880939,13:41
1,0.06166602671146393,0.06638602912425995,0.43996100825496837,13:41
2,0.06948568671941757,0.0678660199046135,0.4398294464417911,13:40
3,0.06246492266654968,0.06725866347551346,0.4285817964982927,13:40
4,0.06331188231706619,0.06974954903125763,0.44132129609666004,13:41
5,0.06401713192462921,0.06612292677164078,0.45268395740609824,13:41
6,0.062326572835445404,0.06732504069805145,0.4584861178366578,13:41
7,0.058175887912511826,0.06510517001152039,0.48757528432690433,13:40
8,0.05764850974082947,0.06166195124387741,0.49049472777329195,13:41
9,0.05355605110526085,0.06283453106880188,0.5122115351678382,13:42
10,0.05519617348909378,0.06254072487354279,0.5141693089340866,13:42
11,0.05215512216091156,0.05993453040719032,0.5141854192654902,13:42
12,0.048911675810813904,0.06003696471452713,0.49683012244038816,13:35
13,0.04860280081629753,0.059414658695459366,0.5164282198875537,13:36
14,0.055162638425827026,0.05971819907426834,0.5130508531232898,13:38
