epoch,train_loss,valid_loss,mod_dice_multi,time
0,0.042381517589092255,0.04543525353074074,0.19330403254201065,11:21
1,0.03970673307776451,0.03904934227466583,0.016200636655652887,11:12
2,0.036921076476573944,0.04595475643873215,0.012907011240342756,11:12
3,0.036207087337970734,0.038575224578380585,0.012907011240342756,11:20
4,0.034924834966659546,0.03746073320508003,0.012907401160034176,11:11
5,0.03391309455037117,0.03648819029331207,0.012907670952027925,11:11
6,0.03414614126086235,0.0381799153983593,0.014260500350990843,11:11
7,0.033293381333351135,0.03803588077425957,0.013018517395177167,11:11
8,0.03343472257256508,0.040121324360370636,0.012907011240342756,11:11
9,0.031401753425598145,0.03316431865096092,0.012907011240342756,11:13
10,0.032055679708719254,0.035845737904310226,0.012907011240342756,12:12
11,0.03294386342167854,0.03394834324717522,0.012907011240342756,11:10
12,0.03150354325771332,0.032977741211652756,0.012907011240342756,11:10
13,0.03288760781288147,0.03535361960530281,0.012907011240342756,12:24
14,0.033453043550252914,0.03325383737683296,0.012907011240342756,11:09
