epoch,train_loss,valid_loss,mod_dice_multi,time
0,0.19787240028381348,0.150238037109375,0.4926185802099092,30:29
1,0.04504474997520447,0.04162340238690376,0.623953673265249,29:58
2,0.027921106666326523,0.027541441842913628,0.6014217996226952,29:49
3,0.0225082878023386,0.02442856691777706,0.5969266330339099,29:42
4,0.019808705896139145,0.019001780077815056,0.6330429621266341,29:49
5,0.018687091767787933,0.020704112946987152,0.6310260096310034,29:56
6,0.01617375575006008,0.018414458259940147,0.6353110525865608,29:48
7,0.014257635921239853,0.0183021891862154,0.6235724840499886,29:44
8,0.012443117797374725,0.018228640779852867,0.6363472184020694,29:48
9,0.01072696316987276,0.018082445487380028,0.6387146175656923,30:09
