epoch,train_loss,valid_loss,mod_dice_multi,time
0,0.023496760055422783,0.02530030533671379,0.6065991230470135,23:05
1,0.0228758342564106,0.021966340020298958,0.6131605383796584,22:34
2,0.02410641685128212,0.026705892756581306,0.4955891759172623,22:33
3,0.02212555706501007,0.02535066567361355,0.5679339764143444,22:34
4,0.0212229136377573,0.021900275722146034,0.61100282125631,22:33
5,0.019120749086141586,0.021639974787831306,0.6052842265201306,22:32
6,0.017413323745131493,0.018975717946887016,0.6191349338287835,22:32
7,0.015116434544324875,0.019578151404857635,0.6292055007697134,22:39
8,0.013478082604706287,0.018224189057946205,0.6301053421922507,22:33
9,0.0132499560713768,0.018327459692955017,0.6344049168042762,22:30
10,0.012153074145317078,0.01894708350300789,0.7265063770420358,22:32
11,0.009733621031045914,0.019711636006832123,0.7641154901848161,22:32
12,0.00966312363743782,0.020083893090486526,0.7697548557679814,22:32
